0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1034.8357,1197.3792,1216.4257,1187.1389,1157.8522,1149.4996,1150.1171,1150.7345,1151.3519,1151.9694,1154.2809,1157.6304,1160.98,1164.3296,1170.8473,1179.8947,1188.9419,1197.9891,1199.8778,1194.3762,1188.8746,1183.2914,1177.6061,1171.9208,1166.6094,1161.8682,1068.2698,1008.2145,1180.5138,1132.7726,1136.7269,1132.6619,1118.9659,1134.1703,1140.804,1119.6982,1107.1233,1127.8262,1143.7656,1136.781,1074.4241,701.8179,539.5037,412.7242,636.4848,837.4592,681.7106,525.962,371.717,340.8527,309.9884,463.7729,621.3181,473.6575,309.2696,433.5656,584.3209,644.5176,692.8357,723.1786,750.4,729.8364,672.1147,607.8925,595.269,597.8809,559.6646,466.2548,357.275,213.9214,133.5508,251.0455,363.4218,416.2773,462.5919,403.5919,387.6992,454.6943,640.8027,893.6957,1118.9302,887.0314,624.8597,817.6193,981.3422,1030.3835,976.6239,920.1671,910.3945,795.7406,505.704,462.5556,553.1478,793.5706,743.8624,741.7624,729.046,417.5181,370.8857,306.924,263.8177,381.2854,501.1917,585.3422,412.4827,414.5453,711.189,772.5494,475.5995,495.3698,333.4546,449.6161,566.5668,878.0753,937.1914,993.2522,1021.5433,1004.5656,1054.5229,1052.4015,1071.7156,1094.3325,1110.91,1085.049,646.4283,410.4999,321.4781,268.863
1016.6956,1099.7109,1128.6384,1139.3479,1150.0574,1154.6837,1156.7036,1158.7235,1160.7434,1162.7633,1163.3267,1162.9974,1162.6682,1162.339,1166.485,1174.2042,1181.9233,1189.6425,1192.8184,1191.3042,1189.7899,1184.022,1172.9279,1161.8339,1158.1404,1165.7327,1073.4175,1003.3801,1184.823,1148.7455,1152.1133,1139.8938,1110.5229,1141.6062,1160.1309,1138.0085,1122.2799,1131.4928,1137.6447,1129.0652,1088.7959,854.6734,625.8281,436.444,636.3351,817.265,701.3517,585.4384,470.6871,451.274,431.861,507.088,584.2423,472.6236,350.6587,458.3331,587.055,658.4009,722.2208,742.6636,755.574,733.4267,669.1375,596.4525,555.0349,522.8494,573.3091,473.5832,305.5506,236.1631,182.6657,218.541,302.5806,377.4856,448.5454,416.573,405.3008,459.5735,591.8903,771.9074,937.2701,707.4965,507.2131,759.4902,973.9619,1080.4066,1106.4043,1050.7533,918.3688,766.4451,541.7582,455.5038,379.7541,395.1544,566.0829,719.0936,655.4998,267.3123,354.5539,381.7436,373.702,406.2932,427.5348,396.0114,403.0298,484.3495,641.7119,598.2607,510.4655,349.9516,410.6119,435.6305,462.5759,964.5662,987.1283,1003.8868,1007.9601,1022.9753,1059.8463,1057.0724,1078.1581,1102.6387,1082.2633,1061.3098,528.8778,358.5853,252.0057,333.5321
1051.2045,1096.0929,1114.0314,1122.8925,1131.7534,1135.1833,1136.2863,1137.389,1138.4918,1139.5946,1145.5786,1154.5538,1163.5291,1172.5043,1175.9448,1174.9663,1173.9878,1173.0093,1174.5067,1178.5603,1182.6139,1180.5922,1170.9639,1161.3356,1157.0192,1160.8033,1059.3918,978.6644,1175.9955,1169.6331,1179.2687,1158.1326,1093.9475,1124.015,1138.8317,1104.2882,1080.7583,1100.1917,1120.9738,1148.2474,1146.9907,963.2037,727.6356,526.2674,662.2719,783.2578,669.1247,554.9916,442.5726,470.7932,499.0138,533.8063,568.7326,425.7299,272.9754,321.6505,388.7876,555.712,735.7254,763.1635,764.1064,698.4948,637.7916,581.8444,574.5598,581.6439,605.0211,459.5522,247.5481,335.0442,431.4225,336.0652,315.9236,360.4493,396.3778,464.9951,473.3633,422.0696,507.4413,620.3864,658.4526,525.8508,465.5572,664.2336,848.0933,984.8561,1083.9358,1112.6949,990.1683,685.444,377.6412,391.4988,384.9078,391.0786,521.7383,656.1809,661.2172,351.3806,317.1333,362.0982,415.0726,472.2081,507.9307,424.9453,313.9837,387.0662,504.3589,644.745,630.5007,245.4085,642.5526,571.4066,502.2069,912.9032,956.3379,995.3268,1032.1976,1034.136,1058.6917,1044.3708,1057.0601,1073.5197,1086.6189,1063.9084,571.8414,382.3931,235.1774,496.6061
1134.0771,1145.3097,1130.3274,1106.5155,1082.7035,1087.0181,1103.3844,1119.7507,1136.1171,1152.4834,1164.3085,1173.3508,1182.3932,1191.4355,1194.6368,1193.1744,1191.712,1190.2496,1186.4631,1180.2773,1174.0917,1172.6082,1177.012,1181.4159,1177.7058,1161.6218,1059.1996,990.5541,1170.9803,1166.2654,1182.0137,1179.8207,1150.8633,1172.3119,1177.3132,1129.0819,1092.5713,1101.7821,1115.678,1152.1213,1157.7572,971.0801,762.287,572.6361,571.8165,567.8692,514.9561,462.0431,410.7188,489.7597,568.8006,546.9138,522.9715,392.9915,257.2,332.439,427.0198,581.6763,744.2128,773.8778,780.4694,698.4897,644.9506,603.0801,554.0851,502.9865,354.9903,297.0056,286.3009,396.0365,498.2463,419.7686,278.6697,278.252,356.126,534.2334,519.5696,316.152,213.1586,312.6657,517.4404,483.5115,371.3207,430.1109,617.2222,863.5085,985.1464,1057.9628,1022.4275,784.0156,441.4483,354.8904,312.297,368.5602,440.8727,564.5553,672.2483,449.0629,453.0321,263.7354,330.2742,449.6729,544.5969,484.1711,313.4501,518.0627,314.5249,434.9126,602.583,350.0562,500.6055,502.8076,506.9719,994.9026,1007.4458,1014.2342,1030.8953,1045.2155,1062.7363,1041.0042,1057.3608,1078.8118,1102.4948,1106.4214,691.3942,487.577,486.7496,657.1193
1139.7855,1150.7864,1133.8212,1107.4365,1081.0518,1085.5088,1103.1813,1120.8536,1138.526,1156.1984,1164.4407,1166.9043,1169.368,1171.8317,1172.6831,1172.2473,1171.8115,1171.3756,1173.6309,1178.6639,1183.697,1185.4738,1183.1732,1180.8728,1169.1619,1143.1,1059.5985,1023.4322,1177.0155,1164.708,1171.652,1164.073,1140.8533,1174.8868,1193.6094,1162.7771,1139.0464,1143.0189,1149.4321,1167.5905,1168.2545,1031.3394,681.5008,368.1015,414.1664,459.6497,496.0316,532.4135,568.8828,612.5272,656.1716,597.6666,537.0813,338.8354,133.0449,292.2838,484.9793,614.4963,735.7261,767.786,784.3613,701.3827,644.3556,598.9779,526.8402,446.8011,449.3482,378.8822,269.531,197.5661,362.0745,478.335,384.1927,360.8962,422.5356,621.7258,612.6329,385.2437,279.7474,273.7548,266.8656,306.2686,353.5752,359.9695,466.1047,694.7427,925.4468,1078.6998,1115.3177,911.0789,473.7412,338.5715,331.5182,493.6391,435.4363,498.9567,702.5773,450.2334,323.6992,139.6584,236.1845,254.3999,298.8145,462.8162,554.6348,643.6189,356.9664,469.5511,533.3586,485.4897,174.1956,400.5765,627.3483,950.4744,976.8304,999.5938,1033.7423,1023.0823,1072.2332,1083.9393,1071.1582,1055.9357,1102.2491,1118.4241,928.3478,791.8127,718.6118,859.2813
1156.2854,1167.0559,1155.0333,1135.3335,1115.6338,1115.7745,1124.4167,1133.059,1141.7012,1150.3434,1154.1454,1154.9812,1155.817,1156.6528,1156.412,1155.3115,1154.2111,1153.1106,1156.9565,1165.9088,1174.8611,1173.4619,1159.1022,1144.7426,1137.2954,1140.3896,1074.5123,1030.0662,1173.2526,1164.5321,1167.5835,1162.4954,1151.3131,1179.516,1195.4186,1171.5103,1152.446,1152.2784,1157.3853,1187.8754,1210.6469,1146.2198,800.725,485.2458,465.8633,446.6038,429.271,411.9382,396.2746,517.5719,638.8691,612.9741,584.0813,445.4218,300.7463,336.0788,387.9099,469.261,554.4843,618.0756,677.9106,672.4506,639.6658,603.7137,465.9493,298.123,445.5058,402.3898,244.4654,367.2828,515.8955,599.0732,448.87,399.8588,484.1508,699.3237,639.1916,315.511,242.1929,362.5851,471.7543,494.3707,420.3086,335.4382,431.6733,673.7717,820.5858,946.6042,1039.9559,880.8302,482.0491,410.9848,432.2842,585.8724,603.8142,670.9653,744.6559,478.2893,307.028,355.4443,356.1064,348.1333,330.3275,331.8315,633.868,312.1737,198.0927,148.6597,461.2212,485.6654,276.9825,299.2505,322.5561,601.6711,829.9968,1057.7076,1063.5396,1081.8442,1089.9381,1103.5972,1087.1958,1067.0765,1059.7935,1107.9653,981.6896,948.5657,1000.7515,948.9004
1151.9882,1155.0419,1154.3234,1152.3342,1150.3451,1147.0416,1143.175,1139.3085,1135.4419,1131.5753,1135.0457,1143.012,1150.9783,1158.9446,1162.8433,1163.4941,1164.145,1164.7959,1162.9329,1158.4745,1154.0161,1152.9191,1156.0303,1159.1416,1160.0339,1157.5424,1094.4991,1055.9465,1184.4181,1167.9808,1173.174,1162.4467,1132.1019,1157.7692,1178.5731,1183.6368,1185.875,1177.0903,1170.6587,1175.5505,1190.5052,1216.7166,886.0498,580.4599,522.2462,466.2388,444.7738,423.3088,403.5851,526.7255,649.8659,632.696,612.6686,454.9536,289.6925,311.7858,351.0509,436.6689,528.3669,553.3707,566.7929,657.3464,651.1505,617.2495,461.2932,269.2976,466.9964,431.4001,254.7117,446.6073,671.4902,699.2755,473.0266,415.8906,519.4238,664.8459,626.1808,433.6783,255.4356,304.9156,544.3477,796.8693,793.7021,504.0341,485.4153,703.7476,803.5909,906.1406,1027.696,911.7089,512.7103,399.299,398.257,610.5955,775.7017,857.2764,712.5303,503.6272,241.5843,255.9474,271.0139,293.113,325.8596,447.3714,680.0498,360.4492,219.9654,185.0215,374.7066,532.1508,485.0111,374.4911,265.7157,587.0661,789.1694,989.8292,1110.926,1077.3328,1101.8788,1115.9585,1097.8534,1076.0497,1109.5222,1109.4702,950.736,930.387,1002.0508,969.1296
1153.2489,1154.1385,1144.3257,1130.9081,1117.4905,1116.1018,1119.8676,1123.6333,1127.399,1131.1648,1135.1409,1139.246,1143.3511,1147.4561,1148.3303,1146.6251,1144.9198,1143.2146,1143.8934,1147.0336,1150.1737,1154.1027,1159.0193,1163.9359,1162.3011,1150.6758,1095.7798,1075.8365,1190.9141,1169.577,1166.7015,1147.8174,1114.4636,1151.7875,1175.7334,1156.3812,1143.8561,1157.9635,1172.3889,1188.3453,1206.2581,1194.7628,890.7589,606.572,517.8755,434.8267,440.1944,445.562,452.8448,617.2617,781.6786,731.8692,677.697,467.0656,247.8593,284.8914,345.409,413.6206,482.8414,487.9539,481.9338,648.9357,652.2705,606.4626,464.8167,294.8727,456.0141,448.0591,331.3275,466.6301,666.4338,690.0175,486.474,439.8343,534.6085,653.9267,644.9023,530.9118,416.5335,516.4678,805.1837,987.7957,880.9815,578.7381,605.9188,844.0532,838.5533,839.8405,953.4398,961.6467,661.0626,616.2488,544.3513,535.4103,794.8031,892.7726,646.1469,565.5825,370.4664,360.8625,246.4752,245.0025,245.9676,337.3361,720.6238,175.7,364.5074,134.7162,233.0722,521.4436,649.0336,516.4877,384.8001,464.7515,683.3315,903.5898,1116.4794,1102.3051,1101.4004,1134.6296,1142.4869,1146.8831,1113.9639,1119.4653,1072.4998,1083.1272,1027.908,1085.3938
1145.8848,1147.3848,1135.1372,1118.2592,1101.3811,1102.912,1112.3309,1121.7499,1131.1688,1140.5876,1139.5978,1132.2292,1124.8607,1117.4923,1117.6058,1123.6932,1129.7808,1135.8682,1139.5613,1140.7826,1142.0039,1145.1421,1150.6799,1156.2179,1155.4919,1145.2139,1094.7681,1079.3293,1196.7275,1183.4452,1166.7787,1135.4351,1097.0482,1140.4535,1163.5415,1120.8715,1097.1979,1147.6289,1191.6615,1204.901,1205.842,1105.8126,826.0671,561.3998,445.475,340.5574,407.9605,475.3636,543.909,706.1843,868.4595,813.8293,754.7816,565.9374,369.9795,398.8116,448.2468,458.7098,464.0609,458.4428,450.92,668.8787,639.217,537.1458,422.7933,304.8145,414.7343,400.6565,308.8061,504.8815,744.2815,780.8675,522.089,421.2939,483.4066,630.326,661.5131,567.2936,447.9103,440.0402,548.5051,753.5409,815.075,620.7217,662.3395,830.3272,791.7996,787.631,896.6548,932.5477,785.8614,833.1696,754.7924,585.1506,799.4524,828.1186,536.8264,647.3026,549.5241,454.4856,198.5335,188.9483,217.9237,463.0977,719.243,359.9177,413.5983,270.8643,299.3389,547.4765,801.1306,620.7833,441.1631,440.7998,623.3424,808.0991,1110.4895,1091.7762,1111.7474,1134.8542,1135.9054,1134.3087,1105.4926,1094.3206,1093.5544,1125.4213,1125.1686,1140.946
1147.142,1149.6151,1139.3608,1124.8197,1110.2786,1108.4869,1112.1583,1115.8297,1119.5011,1123.1724,1129.1399,1136.5144,1143.8889,1151.2634,1155.0668,1156.019,1156.9712,1157.9235,1151.4934,1137.4423,1123.3912,1119.0898,1126.9956,1134.9014,1138.3163,1134.8826,1083.4692,1059.0087,1186.2924,1188.0421,1160.8441,1127.6018,1101.5331,1136.6587,1156.4116,1126.4103,1107.2014,1130.0933,1154.7395,1187.8289,1197.9648,1046.1432,745.9796,461.6357,333.3501,220.4064,347.6438,474.8812,602.0366,722.4666,842.8965,839.1241,832.8223,617.2199,390.1464,463.0634,563.4759,568.8554,561.7694,552.8971,543.7147,666.8978,616.2149,516.0782,401.0481,281.6204,347.1815,331.4991,260.0846,524.2659,768.8385,781.1884,568.1578,459.2,460.153,630.9449,729.5387,692.5204,445.0748,305.6464,413.86,650.7047,753.7793,577.1711,640.4277,844.6457,855.1161,816.147,846.4943,971.788,902.4643,876.0969,805.0124,727.0042,842.9846,768.7093,435.2474,686.6995,590.0798,360.6218,250.727,268.3445,299.0155,430.8185,669.0073,360.1546,496.8708,336.7044,286.8326,534.0728,648.2219,613.681,578.5426,396.0878,565.3409,738.8516,1132.6637,1118.3118,1099.2734,1140.6085,1147.8344,1150.2142,1132.4205,1102.6458,1107.8931,1126.1896,1141.2987,1193.3649
