0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
475.8965,477.771,473.5647,466.0065,464.2032,425.4272,390.9254,425.2653,443.8418,439.7809,434.1333,435.3837,424.5526,429.2034,446.3097,447.9268,440.2855,463.5999,470.4724,425.1561,426.9169,460.1578,468.2029,469.8181,460.1624,453.8239,444.8338,440.4407,460.3071,462.8418,463.6692,457.5966,435.9226,447.467,444.5092,441.9087,459.8128,457.1396,463.5168,475.2579,479.5044,495.0399,498.7929,461.8275,502.7477,520.1849,518.7429,515.1277,507.3838,500.5794,481.2888,485.1281,500.4553,479.1461,463.1342,470.7409,476.5424,474.2118,456.5868,475.9266,478.733,482.6489,493.6005,485.169,513.4008,502.5408,487.5996,473.2961,474.4974,476.286,469.3416,465.174,470.7315,460.9492,450.9294,495.86,511.0244,524.579,530.8547,499.8954,494.9285,478.5188,472.0424,466.9373,461.8156,490.0174,477.4124,481.3303,473.4776,470.4444,469.4138,464.577,462.9151,471.8396,477.4158,453.673,453.6541,465.7077,460.4301,468.3292,484.529,503.1619,514.5792,521.782,499.1741,503.2329,492.8225,477.6505,485.0184,478.3499,457.1094,428.9617,413.9062,421.1026,430.1129,435.1554,441.9614,445.3639,449.759,458.4482,457.9323,452.0681,449.3943,458.0692,452.6006,427.6001,429.5988,427.4728
410.9451,434.7278,438.9999,432.2479,411.9542,390.2443,376.4364,393.4666,411.6343,416.2566,416.8069,418.4897,414.9449,422.1295,421.2779,417.2155,417.47,435.8191,456.861,428.0092,428.0635,460.9487,466.7798,461.179,454.9688,441.6864,427.2958,430.5733,447.0018,446.0018,445.8223,448.1562,438.7927,457.0867,482.4107,499.034,491.7376,505.0512,517.7668,499.9623,488.381,485.5125,497.8041,509.6896,523.861,512.7004,510.7915,504.6563,480.0112,450.2324,464.636,472.4403,475.0575,458.7148,449.9946,470.0348,460.4145,440.8927,450.7491,451.7917,461.6471,472.1027,486.6983,492.7329,504.1061,490.3731,479.2531,469.2174,484.8409,477.8364,483.263,487.3329,467.2161,466.4496,465.9836,509.6371,513.2817,514.8203,544.1161,535.5336,509.4556,491.1896,524.7947,509.1807,485.6231,501.6294,502.5188,497.3373,490.976,487.6927,485.1738,495.8184,493.3509,504.7815,490.4409,490.4605,496.8291,502.4256,480.6614,501.9614,542.1916,536.7627,529.9639,532.8345,532.2558,539.2186,554.9562,557.9203,560.7805,546.0989,515.0005,507.4701,505.509,489.0023,480.9706,483.7173,506.1629,510.6991,498.1064,514.4202,530.4951,533.9672,536.2192,542.2856,545.6062,536.7441,525.2407,511.7174
462.3007,497.4696,495.9437,481.4209,458.0312,422.5117,409.7303,407.3578,416.2173,433.2317,451.6557,466.194,474.2538,472.8323,468.4115,467.8273,469.2706,463.0843,469.0474,454.0126,476.6488,511.2597,512.0605,512.1494,504.0424,487.8668,484.5876,491.7238,495.2471,492.7574,499.9241,506.2686,495.6696,500.8454,522.7375,547.8831,543.8533,555.9278,563.0047,539.3681,522.8746,524.201,566.247,597.8369,576.8284,545.6965,552.9587,547.4744,514.2139,506.5463,483.8882,445.2817,483.9065,483.0182,490.1081,517.0607,475.1549,485.3829,520.4631,498.1321,496.6938,498.0462,518.714,498.7059,496.4613,494.2935,519.5719,543.0705,523.5071,509.81,524.0024,551.8546,538.9399,533.9742,529.134,547.1935,546.6589,545.1409,589.6389,584.1997,549.1223,512.1342,539.5127,528.8043,511.492,534.6577,506.6304,531.7594,536.5179,524.8768,511.0939,534.6795,547.9083,534.5845,498.4529,507.9205,516.2174,517.6924,498.1783,507.7879,564.2587,558.8243,535.3848,520.9035,549.0605,558.2822,573.527,574.3234,576.0572,567.9821,543.1227,529.4921,522.9643,519.2184,516.2428,511.1288,520.8489,524.5872,508.9837,518.5716,548.7387,565.2114,573.664,572.8983,574.8708,588.8108,591.9175,584.3842
492.7646,506.1044,511.4917,511.787,496.4911,469.7458,461.6951,473.7013,506.2249,513.7029,505.6758,511.9185,521.9353,526.5014,532.0726,540.801,550.3958,542.8376,541.3201,535.3639,550.2581,553.9477,549.977,568.0259,573.3477,567.9531,585.2455,599.8446,587.2347,567.5682,552.7603,539.2908,522.241,527.4588,539.6395,554.5774,554.6906,566.3623,577.4316,541.2749,512.8323,512.0658,573.9956,628.2097,622.1494,588.7171,591.2669,594.4766,601.6804,608.2545,568.813,490.7431,549.5901,549.3821,553.1357,571.3087,570.8342,563.5521,576.5303,555.7584,577.6364,594.2185,570.3778,589.1616,589.3701,559.5996,566.3627,572.9315,574.2357,557.2715,556.889,588.1409,575.9157,588.1927,600.8509,602.7115,596.4452,589.7896,608.182,608.472,566.0882,573.9283,590.095,567.769,539.9194,561.6924,525.6689,571.2531,572.5459,556.8243,540.3602,551.5953,557.0604,551.3166,552.4218,584.3729,590.3853,583.4444,560.7084,544.2255,575.2647,590.7224,590.1418,589.7466,592.712,598.9466,613.4692,605.4772,594.5474,592.705,590.6547,592.6593,581.5895,569.2329,569.514,572.4662,577.2872,564.1616,547.1172,541.2674,560.0135,581.5049,566.5547,555.6254,546.5915,546.2087,564.2256,570.3151
509.6571,509.6295,508.0548,500.0689,487.7363,485.0268,481.251,492.3721,503.7406,502.6352,497.1128,494.7997,485.2563,478.5489,489.421,495.5201,493.44,480.2635,485.5095,503.3301,518.7692,522.548,521.027,525.1088,528.2753,548.9773,553.6027,533.9185,527.1669,494.434,475.0447,486.3286,473.9192,473.1933,472.4507,486.7912,511.3326,525.2621,503.6966,414.6136,385.0768,378.1428,457.649,572.3654,564.803,550.4495,547.3937,545.3057,560.6722,592.8941,537.584,498.2574,495.8803,504.4628,512.1479,520.7673,544.8248,525.1143,519.9273,544.6199,560.8092,573.7766,560.3054,557.4451,567.1877,525.3854,519.3616,513.9449,522.5615,507.556,523.3815,517.5099,501.9106,510.3332,519.1274,527.9613,533.8563,539.6027,555.7035,548.5311,532.6652,555.4867,532.1123,510.2905,489.6177,528.1888,514.7632,523.2221,534.2057,528.6398,519.4005,522.9319,532.645,512.9584,520.2957,548.7089,561.1622,566.6318,572.925,553.1908,555.473,593.5425,611.144,613.6202,610.3318,596.0576,593.3828,576.8422,600.5811,622.8674,618.777,614.8275,590.1887,585.4812,594.1406,588.2101,585.3051,568.0703,545.0623,530.353,529.9038,530.1478,507.5485,475.3745,462.1791,484.8763,498.7755,505.0403
449.5285,438.1891,439.377,438.1009,433.4071,420.7381,409.8326,415.59,454.7768,466.9538,460.1572,440.4905,429.1948,414.4341,421.0127,429.6219,428.3911,434.4125,455.073,480.3575,465.4421,439.0997,433.9859,433.1847,444.2358,482.0121,485.7546,460.1401,458.993,435.9263,416.515,427.2001,423.8732,414.1456,399.2935,399.1155,430.7332,450.074,379.6689,262.9249,321.9544,346.8096,354.2048,449.1707,463.7999,455.0945,453.2275,456.1281,478.9654,499.9946,462.298,445.7759,409.7502,412.1753,412.66,410.1589,435.8532,456.3383,443.7982,475.9708,483.3262,487.2086,463.5592,459.0803,454.8749,443.1022,443.1524,443.899,461.0783,462.1238,469.9288,450.8866,424.1466,419.1798,414.5499,443.5036,447.7581,450.7,464.6243,425.3236,411.1941,429.6883,421.0537,416.7169,413.5508,472.1067,459.3846,445.07,456.5491,450.4244,438.9744,449.539,447.1848,458.7009,462.7077,464.3842,466.8178,469.2732,505.4638,489.5419,469.478,483.6844,494.449,497.9533,516.3627,508.9463,498.5566,492.9973,531.02,559.556,559.97,551.972,523.2849,545.0051,571.197,556.893,556.9031,534.373,513.525,503.2324,480.2001,472.6945,460.2454,435.8982,425.4428,446.7704,457.4855,472.4492
446.2905,437.901,448.7079,460.5981,454.9399,424.2875,410.3215,411.2676,443.291,463.8555,472.5164,466.5865,459.6632,445.4713,443.991,443.7897,436.8689,430.2694,446.0128,471.3106,453.0829,428.8716,427.5278,427.9162,447.7018,483.9261,476.3192,455.4056,467.6347,454.7503,425.2754,415.1133,412.1989,414.573,416.8452,426.2259,441.5162,456.6135,420.2585,329.5789,362.1033,360.9804,359.4228,468.9199,478.7021,475.8759,464.0273,460.0993,472.3576,462.7687,450.8452,446.6421,422.1994,415.1108,409.1264,410.5498,430.8604,480.9243,492.8451,515.8975,484.1259,458.9929,487.0635,483.691,472.2066,432.3848,447.1384,461.6808,470.7346,467.7529,474.4358,451.6504,433.0994,439.2199,445.7212,466.5814,466.9741,466.3054,484.4898,477.299,432.7619,461.5718,470.7776,462.1537,451.5088,495.0467,487.8484,482.9325,511.311,500.5904,479.0995,498.5214,477.3475,470.7257,479.0655,486.3767,482.7822,475.5855,489.1629,483.3264,487.0982,494.7758,488.7709,477.3175,489.4295,510.1391,505.1765,515.4646,537.1083,541.6647,537.6584,545.6357,528.1075,546.2037,567.3674,545.876,545.9725,537.6312,524.5654,513.2974,500.8871,501.47,486.2141,483.0996,500.4452,518.6642,528.959,543.7712
438.0781,420.6538,419.6405,421.2523,430.7866,403.8898,392.3582,379.2783,385.3846,401.0416,415.692,436.6849,451.2386,418.7286,403.7628,404.6331,399.1984,387.4772,396.9298,415.5165,413.9433,415.4792,420.4433,418.5815,411.9011,417.5758,419.7936,415.8485,428.5883,413.4251,394.8132,396.3266,392.2253,411.0353,440.2163,468.4005,461.3867,460.8866,461.2476,411.4302,391.8388,380.7663,413.8366,480.5966,479.6729,458.7943,461.4715,460.185,450.2264,450.7778,442.0273,389.7849,390.9595,398.0587,407.2826,421.6906,423.3676,467.5566,497.1949,499.9002,479.554,461.9066,469.5394,497.144,497.1307,496.4277,490.9544,485.7941,487.9772,482.0034,513.154,500.7342,488.6546,493.912,499.4372,491.6202,504.4599,518.3686,516.4747,514.6407,464.7217,459.7398,430.3837,420.7913,414.5657,443.3715,429.5295,436.6536,460.1904,457.6544,448.454,457.2907,450.8702,456.2762,458.1451,471.419,458.57,434.4048,444.5329,476.7578,482.6292,475.3878,474.514,476.7325,489.6048,486.6935,450.2102,442.1046,489.3345,510.1445,499.1666,508.4417,492.4557,492.4043,503.5479,489.7899,496.968,511.2464,526.86,530.2731,516.1393,504.1246,479.8551,485.1958,526.1292,543.6677,533.0552,528.8669
486.1266,429.01,434.7442,460.4006,460.0115,442.4029,442.9395,432.7788,438.6313,455.4438,472.1345,477.6414,459.8656,453.7487,463.9009,465.0807,459.0091,461.188,466.1801,478.0126,467.7961,450.5412,444.3293,435.8002,433.9648,449.033,466.8392,473.2531,476.0975,467.975,465.7113,475.2868,473.7923,478.2475,491.1334,502.3101,495.5204,513.9645,523.9825,482.0687,475.8523,479.722,513.8212,556.07,558.2514,532.2206,510.427,495.7875,505.0467,517.6761,478.1601,376.5668,420.9778,461.3032,512.3342,575.2268,485.9466,525.6428,581.6654,577.94,561.204,544.7473,537.3345,589.3375,587.405,550.5219,544.3264,537.3761,513.2353,527.4871,531.6297,532.9769,528.4879,538.8831,549.5085,512.1671,521.9885,534.2846,537.0276,542.41,493.3971,455.6368,425.8848,425.5703,429.3394,461.1433,415.8326,397.1503,389.0537,381.3216,373.5681,413.3398,449.1711,457.2112,438.3188,427.267,428.5234,432.47,454.5975,487.0912,520.7841,506.168,496.1592,499.879,512.3909,518.7926,482.5137,456.9007,500.7007,540.9988,556.4662,570.8166,558.6257,573.3857,590.0107,574.2444,559.6028,550.5126,547.7067,546.7954,547.6633,543.3913,530.6784,529.5554,547.7079,555.4894,540.4136,529.3719
474.5149,429.4249,450.0243,493.4417,460.5375,446.9711,450.0792,447.2751,450.0008,450.4067,447.9832,406.6982,386.2571,409.7097,439.3955,447.2867,443.5086,429.8255,424.057,439.9029,435.8943,440.6516,455.8031,456.9591,459.5178,462.0674,459.2705,459.0363,466.1715,476.8776,507.7447,515.782,491.6558,499.6373,510.7876,514.6202,519.4995,557.4441,592.6848,602.401,575.8922,567.5087,576.391,554.7824,554.2355,526.2723,504.1358,485.9901,482.3577,479.0645,448.112,438.998,485.1848,501.3391,536.4031,616.8579,514.3438,478.8463,540.0938,540.473,529.7701,521.8969,538.1157,555.1167,569.71,501.8296,480.922,459.3673,423.3018,427.7649,416.5892,413.1791,428.65,444.334,460.0201,478.4449,499.3781,520.4326,511.5318,479.7365,476.5336,441.081,460.8164,459.152,453.3542,455.5894,415.4621,414.2126,419.3468,419.6667,419.0164,414.7914,402.5671,405.2207,417.0257,451.0793,473.6316,489.3621,472.1925,488.8787,489.3774,510.2566,534.8694,552.6276,528.4001,499.0714,470.4586,477.2053,534.9401,558.9583,548.1456,569.8298,589.8998,586.9514,583.4473,581.0288,574.8817,552.2512,554.2614,554.8062,542.1335,539.87,509.8916,483.9573,488.2471,508.1761,502.7068,482.2723
