0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
321.2534,316.4096,315.4966,316.5237,315.8895,315.2553,314.8662,314.7656,314.6651,314.0882,312.8377,312.0835,313.5453,315.5982,314.2961,313.5902,314.1295,314.6689,315.2082,315.7633,316.3626,315.9692,313.0951,313.0189,312.9428,312.9736,313.5156,314.0576,314.6098,315.2322,315.6745,313.9851,307.1045,298.984,268.459,237.9341,207.4091,176.8841,170.0619,163.4274,176.0737,189.4817,202.8897,177.9626,185.2385,196.4041,186.3634,173.1976,185.0736,201.6694,218.2652,234.861,225.7382,224.604,232.1473,238.5141,243.7518,245.9261,242.8887,240.5876,238.2866,235.9855,233.6845,229.0172,224.2922,232.9023,226.2117,213.3846,208.2056,208.237,200.6277,183.3806,166.1336,156.2212,179.4461,241.0238,302.6014,364.179,388.7755,409.6322,406.8855,405.1336,407.4565,393.3909,372.4559,361.1086,349.7614,338.9012,329.7527,319.5392,294.9432,310.9379,327.2331,373.3652,366.9626,342.5547,336.33,341.6725,350.6146,358.8547,359.0951,359.3355,359.6124,360.2137,362.2894,364.3651,364.0945,363.6325,363.1705,362.7085,362.2465,361.7845,361.3224,360.8604,360.6488,360.5322,358.9702,357.4081,355.4222,307.0049,258.5877,210.1704,182.9563,161.7166,152.2972,149.8922,147.4871,149.0906
312.6517,313.7359,314.5171,315.2298,316.1501,317.0704,317.522,317.4218,317.3217,316.3759,314.2339,310.6039,310.5679,316.7542,315.6271,314.5384,313.5296,312.5208,311.5121,310.7306,310.5844,310.2984,310.3243,313.1122,315.9001,318.3092,318.9075,319.5059,319.5899,316.164,312.4619,306.545,304.364,301.0907,278.0776,255.0644,232.0513,209.0382,197.5807,186.2146,200.9174,216.6499,232.3824,196.8558,207.7358,224.1818,214.8452,201.709,214.6068,232.4115,250.2161,268.0207,248.4753,244.3943,254.8799,263.683,270.8717,267.2511,248.4956,240.6507,232.8057,224.9608,217.1159,213.3507,209.6848,218.9969,219.482,216.0444,214.058,213.0601,197.9587,165.0677,132.1766,120.2685,185.0028,245.1217,305.2405,365.3593,389.4532,409.9041,409.303,410.6254,416.0712,404.4572,381.2726,362.6756,344.0786,328.4875,323.4592,317.7725,303.1941,315.9442,328.8965,372.4358,367.7653,346.3831,341.631,347.4584,352.705,356.6958,359.7653,362.8348,364.8557,361.5314,363.4796,365.4277,365.6491,365.7295,365.81,365.8904,365.9709,366.0513,366.1317,366.2122,369.8964,377.5102,372.5173,367.5244,362.0962,308.9832,255.8702,202.7572,174.4164,153.0557,144.884,144.5387,144.1933,144.5041
301.0502,302.772,309.7946,315.0078,313.636,312.2641,312.295,313.9764,315.6578,310.5373,295.7968,281.2087,279.9658,296.6001,304.9681,308.9202,303.6484,298.3767,293.105,288.2172,284.4026,278.9572,273.9651,289.792,305.6188,318.4144,316.7217,315.029,311.5386,295.78,280.8959,275.8709,290.6037,303.7709,288.6486,273.5263,258.404,243.2817,231.8882,220.5243,235.7898,252.1073,268.4247,217.146,234.677,260.3779,249.3477,232.9046,249.2485,271.772,294.2956,316.8191,276.7758,273.7974,300.8953,313.4553,312.0644,298.3456,268.1628,252.4582,236.7536,221.0489,205.3443,200.0794,195.0683,208.1479,215.0145,218.4721,215.7605,208.8462,188.801,152.1929,115.5848,108.4736,203.4257,256.1393,308.8529,361.5666,387.2683,410.2384,409.5294,408.8321,411.7571,408.3967,394.0556,373.2076,352.3594,335.7001,333.7603,330.5355,309.9586,317.1345,324.5158,371.714,367.8255,345.7921,340.1035,344.8127,351.5871,357.9506,359.7115,361.4724,362.7295,361.5367,364.2852,367.0338,367.2611,367.2827,367.3042,367.3258,367.3474,367.3689,367.3905,367.412,374.7782,390.4454,381.3569,372.2685,362.7702,308.3817,253.9933,199.6049,172.6873,153.5102,146.8574,147.6367,148.4159,148.3317
267.1379,268.6109,290.3237,307.4116,301.5988,295.7861,294.5466,298.6882,302.8298,293.4404,264.914,243.7163,244.267,263.1877,284.4399,296.0609,287.5649,279.069,270.5731,261.4229,250.444,241.4157,244.0229,265.3472,286.6714,303.9057,301.5918,299.2779,294.3845,271.8875,250.4433,242.9377,282.2183,318.9877,310.3795,301.7713,293.1631,284.5549,273.6366,262.6999,274.496,287.1901,299.8842,250.1965,269.0244,295.9384,288.3969,275.7778,290.7026,310.8189,330.9352,351.0515,314.0146,311.7161,337.3393,348.0764,344.5286,328.0161,291.8155,264.7807,237.7459,210.7111,183.6763,178.4788,173.8123,191.5209,206.4087,218.724,218.5843,209.9597,189.4209,153.854,118.2872,113.9746,216.0248,262.1026,308.1804,354.2582,381.4561,406.7448,408.9041,409.2111,412.176,410.7748,399.8958,382.2391,364.5825,349.2996,342.3585,334.8482,319.6514,323.5215,327.5327,374.7082,369.7467,346.1184,340.5249,346.4042,353.2437,359.2603,362.1159,364.9714,366.4669,361.1703,364.3915,367.6127,368.1984,368.5691,368.9398,369.3105,369.6812,370.0518,370.4225,370.7932,377.4457,390.9975,382.7341,374.4706,365.7849,310.8502,255.9156,200.9809,175.9992,159.4573,153.1158,152.8275,152.5391,152.976
238.0472,236.0166,263.9745,286.7349,277.1891,267.6433,264.3854,268.5262,272.6671,268.3214,251.9733,247.6609,250.6608,243.9333,256.8837,263.8039,258.1287,252.4534,246.7782,242.8495,243.8036,247.6996,259.4809,264.8808,270.2807,274.2141,271.1385,268.0629,263.5237,248.9961,236.3824,244.9232,292.0219,336.2555,328.7153,321.1751,313.635,306.0948,303.1947,300.3313,299.8621,299.4875,299.1129,289.3416,293.6052,299.4917,305.1945,310.8703,319.4673,328.615,337.7627,346.9103,346.5847,342.6381,338.5498,341.1567,350.1885,339.4307,295.6303,258.1864,220.7424,183.2984,145.8545,141.1642,137.2706,164.8667,182.8527,195.3118,200.0393,199.4997,183.8174,149.0346,114.2518,111.4266,217.3746,266.195,315.0154,363.8357,388.1193,409.9217,409.1507,405.7612,404.5831,408.1749,404.9661,388.2291,371.492,356.9191,349.9511,342.2704,324.9654,328.4543,332.0972,377.6752,372.4786,349.1087,344.4704,351.7481,358.0063,361.7095,363.2294,364.7493,365.6672,363.6229,365.8699,368.1169,369.2886,370.3727,371.4567,372.5407,373.6248,374.7088,375.7928,376.8769,381.0352,387.7516,381.171,374.5904,367.5753,312.9591,258.3429,203.7267,178.9665,162.6187,156.0267,155.2237,154.4208,155.8474
223.8771,245.4961,259.6266,259.5812,252.4133,245.2455,253.4467,279.7322,306.0176,315.5384,301.3487,301.0737,299.0893,274.0305,281.86,283.2367,271.1351,259.0336,246.932,245.4566,273.687,300.516,315.7594,306.0001,296.2408,285.3283,268.9046,252.4808,240.1923,256.1242,271.8422,286.2237,307.7156,327.7145,320.7359,313.7572,306.7786,299.8,299.2819,298.815,296.4905,294.0927,291.6948,281.9223,284.563,288.6298,294.2042,300.0007,301.9126,303.0923,304.272,305.4517,324.2571,325.9873,315.8713,319.0913,335.1086,324.9574,273.4053,236.1112,198.8171,161.523,124.229,132.0829,141.0348,150.5788,166.4207,184.3484,189.2478,185.2718,175.2275,157.5289,139.8303,140.9936,209.268,262.1612,315.0543,367.9474,388.4621,405.7025,397.6625,392.1184,391.6138,404.4152,410.8545,394.9406,379.0268,365.1647,358.5128,350.8,328.7603,334.9389,341.3265,384.5963,380.8617,360.4176,353.0876,354.1001,357.348,361.3815,362.4208,363.4601,363.9586,361.929,365.3484,368.7677,370.2177,371.5071,372.7964,374.0858,375.3751,376.6645,377.9538,379.2431,382.088,385.306,378.8455,372.385,365.5045,312.6203,259.736,206.8517,183.2645,167.9325,161.2048,159.5829,157.961,160.3308
220.6777,283.2118,276.9444,258.5891,290.782,322.9749,341.8792,345.1475,348.4158,347.5967,340.9969,340.4399,338.0258,327.9714,340.0262,343.2245,327.9236,312.6228,297.322,292.9373,319.0693,340.726,346.6251,348.7576,350.8902,351.0392,341.7078,332.3764,323.9702,321.8774,320.8227,328.9383,332.3733,335.0366,323.7538,312.4711,301.1884,289.9057,289.2327,288.6437,288.182,287.7253,287.2686,270.205,276.3688,285.229,285.8408,285.237,284.037,282.7246,281.4122,280.0998,291.9748,293.6007,287.648,289.4855,298.7986,292.075,259.6303,235.0318,210.4332,185.8347,161.2361,159.0854,157.4805,150.3174,158.8214,173.0232,176.2987,172.1306,170.0374,170.5615,171.0856,176.4127,204.4435,263.9118,323.3801,382.8484,391.6886,395.4091,395.1553,393.057,390.695,405.3545,415.6039,401.8081,388.0123,375.4638,367.2982,357.9638,332.8467,341.8416,351.089,388.4783,383.7708,364.3863,356.7326,356.5415,363.304,372.1532,371.1114,370.0695,369.8871,374.0085,372.8835,371.7584,372.4076,373.2015,373.9955,374.7895,375.5834,376.3774,377.1713,377.9653,379.3395,380.0745,374.706,369.3376,363.5592,312.8808,262.2025,211.5241,188.682,173.6835,167.2475,165.8927,164.5379,165.5414
225.8525,307.5595,342.3857,340.9908,346.5688,352.1468,355.4814,356.1765,356.8715,356.3894,354.2423,352.9759,351.3734,349.9676,354.3794,356.7765,354.9653,353.1541,351.343,350.4901,352.3162,353.3165,352.2957,353.7532,355.2107,356.1272,354.458,352.7888,350.9415,347.8794,345.264,346.3888,343.2217,339.5209,326.1784,312.8358,299.4933,286.1508,285.0398,284.0257,283.5668,283.1298,282.6929,258.4572,266.2589,277.7884,270.6272,260.7116,253.8794,247.6284,241.3773,235.1263,241.663,241.8555,236.527,245.8952,269.3668,262.2031,214.9529,205.7946,196.6363,187.478,178.3197,174.6195,171.0521,198.6456,193.1656,174.2517,172.3676,182.0849,183.7637,175.3027,166.8418,165.8269,197.9784,266.0811,334.1838,402.2866,393.6204,377.191,376.7241,381.8694,387.2263,405.4928,417.4215,407.4614,397.5013,387.3757,376.6685,365.0512,341.1427,348.8163,356.7236,394.3976,387.2469,364.4799,359.824,366.6896,373.3491,377.2914,377.2365,377.1815,376.8521,375.3868,378.4587,381.5307,381.5434,381.3065,381.0695,380.8326,380.5957,380.3588,380.1219,379.885,381.4158,383.8656,376.9021,369.9386,362.6358,318.1805,273.7251,229.2698,206.0948,188.9161,181.6923,180.3758,179.0594,180.2446
215.7256,307.9955,354.1875,356.7631,358.324,359.8849,360.8794,361.2072,361.535,360.8204,358.6316,358.5861,358.6969,356.4404,360.1058,362.4311,361.9569,361.4828,361.0087,360.457,359.6883,358.1057,355.1709,356.9719,358.7728,360.2375,360.0951,359.9527,359.2491,354.7154,351.0795,355.1361,352.4862,349.0159,330.7189,312.4219,294.1249,275.828,272.9628,270.2198,268.0216,265.8449,263.6683,244.7954,250.7532,259.5829,246.9215,231.0929,215.5567,200.0756,184.5945,169.1133,187.8562,188.8822,174.7572,187.5806,226.2639,213.1014,143.0153,165.2699,187.5245,209.7791,232.0337,222.5506,212.2955,230.4159,213.3067,182.2364,183.9097,207.8896,215.1493,201.3186,187.4879,182.3516,214.4562,279.1782,343.9002,408.6222,398.8147,381.4704,391.1302,400.7417,406.206,413.655,414.1186,403.8822,393.6459,384.1789,377.4157,369.6324,348.0747,354.6911,361.5161,402.959,393.9897,367.3904,361.3302,368.3363,375.2637,379.7905,380.5889,381.3873,381.8542,380.7001,382.0392,383.3784,383.3187,383.1448,382.971,382.7971,382.6233,382.4495,382.2756,382.1018,384.7357,390.1513,384.8479,379.5446,373.8914,329.9205,285.9497,241.9789,220.0024,204.2233,197.4255,195.9573,194.4892,196.4708
243.3741,324.2161,363.5111,363.9016,363.7925,363.6833,363.3723,362.8239,362.2755,362.0312,362.217,362.3183,362.9936,364.1197,363.8528,363.5809,363.2984,363.016,362.7335,362.5877,362.824,360.5987,353.2289,356.4058,359.5827,362.2538,362.5076,362.7614,362.6055,359.6531,357.5211,362.5382,362.7694,361.5721,334.5613,307.5505,280.5397,253.5289,250.4124,247.485,244.2118,240.9248,237.6379,235.2983,236.6398,238.3732,233.2069,227.0238,217.5896,207.5427,197.4957,187.4488,172.8479,173.3799,182.4249,188.347,191.2723,184.9444,176.3498,204.3883,232.4268,260.4654,288.5039,277.6252,265.8,287.598,256.8091,205.8124,192.9126,205.9662,213.7913,215.021,216.2507,223.5964,256.1299,305.2584,354.3869,403.5154,404.6216,400.8716,415.5789,425.6902,430.8126,431.2354,424.6849,414.7787,404.8724,394.7518,383.8779,372.2799,350.9019,359.9317,369.1867,402.0652,392.2931,367.9387,363.7093,372.2824,379.4918,382.9497,382.948,382.9463,382.5882,380.6267,383.0046,385.3824,385.9085,386.2834,386.6584,387.0334,387.4083,387.7833,388.1582,388.5332,390.5205,393.601,388.9115,384.2221,379.1892,336.5396,293.89,251.2404,230.9808,217.03,211.2119,210.2198,209.2277,210.0377
